timestamp,dataset,model,season_length,split,n_windows,H,tau,D,n_samples,seed,MAE,RMSE,MASE,CRPS,pinball,cov50,width50,cov90,width90,predict_s,platform,order,orders_per_channel,fit_s,epochs,hidden,layers
2026-05-30T19:09:45+00:00,exchange,seasonal_naive,1.0,test,1430,60,30,8,100,42,0.009812,0.016592,4.5263,0.007175,0.00379,0.444543,0.016123,0.862284,0.044464,0.5929,macOS-14.7.3-x86_64-i386-64bit,,,,,,
2026-05-30T20:32:43+00:00,exchange,arima,,test,1430,60,30,8,100,42,0.009817,0.016578,4.524945,0.007249,0.003831,0.633488,0.020514,0.931777,0.04923,49.383,macOS-14.7.3-x86_64-i386-64bit,auto,1.1.0;1.1.0;2.1.2;0.1.1;0.1.1;2.1.2;0.1.1;0.1.1,16.3883,,,
2026-05-30T21:07:14+00:00,exchange,deepar,,test,1430,60,30,8,100,42,0.016004,0.023814,9.210465,0.011686,0.006174,0.294916,0.015493,0.764726,0.046464,32.6817,Linux-6.6.122+-x86_64-with-glibc2.35,,,104.6601,30.0,40.0,2.0
